configname,computername,username,job_starting_time,testname,itteration,elapsedtime
lsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_16,hycreate_01,2,1.739
lsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_16,hycreate_01,3,1.744
lsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_16,hycreate_01,4,1.779
lsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_16,hycreate_01,5,1.754
lsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_16,hycreate_01_02,1,1.162
lsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_16,hycreate_01_02,2,1.188
lsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_16,hycreate_01_02,3,1.287
lsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_16,hycreate_01_02,4,1.197
lsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_16,hycreate_01_02,5,1.195
nsql-lts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_35,hycreate_01,1,2.451
nsql-lts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_35,hycreate_01,2,2.140
nsql-lts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_35,hycreate_01,3,2.269
nsql-lts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_35,hycreate_01,4,2.144
nsql-lts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_35,hycreate_01,5,2.241
nsql-lts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_35,hycreate_01_02,1,1.577
nsql-lts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_35,hycreate_01_02,2,1.614
nsql-lts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_35,hycreate_01_02,3,1.551
nsql-lts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_35,hycreate_01_02,4,1.586
nsql-lts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_35,hycreate_01_02,5,1.546
nsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_57,hycreate_01,1,2.360
nsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_57,hycreate_01,2,2.161
nsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_57,hycreate_01,3,2.155
nsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_57,hycreate_01,4,2.342
nsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_57,hycreate_01,5,2.183
nsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_57,hycreate_01_02,1,1.554
nsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_57,hycreate_01_02,2,1.595
nsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_57,hycreate_01_02,3,1.509
nsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_57,hycreate_01_02,4,1.683
nsql-mts-mt.ini,SGH222T6M2,tcaine,2014_01_16_15_50_57,hycreate_01_02,5,1.702
