configname,computername,username,job_starting_time,testname,itteration,elapsedtime
lsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_19_08,hyplot_03,5,0.277
lsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_19_08,hyratab_01,1,0.783
lsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_19_08,hyratab_01,2,0.793
lsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_19_08,hyratab_01,3,0.803
lsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_19_08,hyratab_01,4,0.812
lsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_19_08,hyratab_01,5,0.821
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,HYCSV_01,1,4.480
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,HYCSV_01,2,1.364
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,HYCSV_01,3,1.285
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,HYCSV_01,4,1.235
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,HYCSV_01,5,1.284
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hycreate_01,1,2.034
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hycreate_01,2,1.862
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hycreate_01,3,1.860
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hycreate_01,4,1.838
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hycreate_01,5,1.936
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyday_01,1,4.263
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyday_01,2,3.284
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyday_01,3,3.194
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyday_01,4,3.370
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyday_01,5,3.230
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyday_02,1,3.190
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyday_02,2,3.212
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyday_02,3,3.196
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyday_02,4,3.250
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyday_02,5,3.230
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hydbutil_01,1,0.570
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hydbutil_01,2,0.490
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hydbutil_01,3,0.476
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hydbutil_01,4,0.488
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hydbutil_01,5,0.455
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hydbutil_02,1,0.661
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hydbutil_02,2,0.610
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hydbutil_02,3,0.610
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hydbutil_02,4,0.623
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hydbutil_02,5,0.610
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_01,1,0.372
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_01,2,0.326
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_01,3,0.324
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_01,4,0.306
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_01,5,0.305
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_02,1,0.335
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_02,2,0.310
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_02,3,0.310
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_02,4,0.312
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_02,5,0.328
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_03,1,0.317
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_03,2,0.312
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_03,3,0.313
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_03,4,0.317
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyplot_03,5,0.318
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyratab_01,1,1.372
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyratab_01,2,1.273
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyratab_01,3,1.303
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyratab_01,4,1.222
nsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_20_05,hyratab_01,5,1.272
nsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_21_22,HYCSV_01,1,1.450
nsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_21_22,HYCSV_01,2,1.295
nsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_21_22,HYCSV_01,3,1.285
nsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_21_22,HYCSV_01,4,1.345
nsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_21_22,HYCSV_01,5,1.284
nsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_21_22,hycreate_01,1,1.964
nsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_21_22,hycreate_01,2,1.912
nsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_21_22,hycreate_01,3,1.950
nsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_21_22,hycreate_01,4,1.917
nsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_21_22,hycreate_01,5,1.915
nsql-mts-lt.ini,SGH222T6M2,tcaine,2014_01_15_15_21_22,hyday_01,1,3.283
